Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019-09-04,,,,,,,3.36399,8.05454,14.55994,32.69461,33.11259,34.12183,29.12349,27.63625,18.93866,21.10692,15.04819,11.77488,19.14536,25.42132,14.37352,8.58366,0.50586,
2019-09-05,,,,,,,6.73228,15.17743,22.36631,17.20699,15.41619,19.9948,23.28635,24.60944,28.26634,17.0453,12.89341,8.78796,15.315,16.896,10.16136,3.93903,,
2019-09-06,,,,,,3.69206,9.7998,14.4936,20.15394,34.56253,25.2493,17.16239,19.74652,26.21576,25.64874,22.25061,16.14344,12.3256,25.34394,20.90209,18.82944,14.86434,10.30184,2.35474
2019-09-07,,,,,,,,0.19276,8.9824,11.41749,7.082,22.19993,25.9358,28.99043,24.17376,27.2763,22.24788,15.5231,8.04891,20.12754,22.5504,5.83347,,
2019-09-08,,,,,,,2.83322,4.9998,7.24757,19.05881,13.36854,12.91541,20.96751,25.98016,22.1653,10.16508,4.86942,6.9233,3.0605,8.11058,6.2424,6.2424,1.97676,
2019-09-09,3.85742,,,,,,5.07929,6.67704,18.37608,32.87856,36.60642,24.65466,29.79134,21.51624,19.32818,18.70546,19.88461,8.16777,2.66179,6.33312,1.19556,,1.43836,3.9228
2019-09-10,4.6266,4.6266,2.69885,,,,,,10.86798,24.2278,25.67399,22.1504,22.07856,26.29772,15.33737,5.88427,10.91106,12.57993,14.9856,19.39387,3.712,2.34066,,3.8555
2019-09-11,3.31695,,,,,1.36134,4.0578,6.123,9.03801,20.15258,21.94566,20.14466,35.48219,28.40777,8.64586,10.85617,14.39366,21.23984,24.1256,28.24619,13.32451,5.54076,5.103,5.103
2019-09-12,,,,,,3.26455,13.19453,10.71016,14.49108,22.41685,29.06675,30.67951,19.40043,2.55507,8.81389,7.74115,6.08917,9.22561,16.8151,14.51156,15.4309,8.13137,5.50098,
2019-09-13,1.095,,,,,1.6841,4.593,11.00388,12.98596,30.75118,21.28716,19.99097,16.77942,6.33889,6.84545,13.38486,19.93821,28.71248,49.15453,35.20683,16.53115,16.29908,10.9536,10.49705
2019-09-14,0.06955,,,,,,,1.1526,14.61489,26.78026,14.85503,23.62604,24.57384,18.52876,21.12881,26.29008,24.51549,13.7219,13.52539,23.68582,21.85648,9.95381,4.38334,4.173
2019-09-15,,,,,,,,2.15758,20.21084,30.22455,26.60135,22.40345,23.76262,11.20972,10.15437,12.78486,16.76541,28.08908,17.66645,9.61396,3.5322,,,
2019-09-16,,,,,,,0.53912,4.0434,11.63362,29.47129,21.8484,27.01778,34.36014,36.86045,29.18556,20.20158,19.50917,22.81589,21.26067,18.44305,17.3389,8.10535,3.4296,2.2864
2019-09-17,,,,,,,1.81824,6.8184,11.96933,30.27487,35.31885,11.98447,18.40656,17.0526,16.67889,13.75904,17.72886,15.72668,19.89116,15.42134,7.98524,4.26431,2.70438,0.40278
2019-09-18,9.8436,9.8436,2.5478,,,1.5102,3.40576,10.43572,14.83507,27.67967,20.08412,18.96409,20.0527,22.39988,15.02922,12.91348,19.7827,18.91022,21.00907,13.8493,10.91446,5.8756,5.4432,9.40356
2019-09-19,,,,,,,2.49575,8.59446,4.32898,20.92383,35.18085,28.33559,30.03786,16.24462,16.57694,24.8657,19.73524,20.13859,11.16466,16.57966,10.04156,3.46537,0.5669,
2019-09-20,6.6072,0.99108,,,,5.24353,10.47404,5.8722,17.79711,31.5083,26.9532,26.98725,31.25092,16.57579,18.00488,10.38993,2.61851,21.56178,25.95341,20.07361,18.7656,12.83349,6.6072,6.6072
2019-09-21,,,,,,,,,0.89353,9.78536,24.02552,22.98034,19.37275,25.68629,22.68237,20.63703,16.85786,9.5154,22.47949,30.28073,16.6836,3.37228,,
2019-09-22,11.2104,6.92416,6.618,5.0738,,,2.9046,2.9046,7.06355,12.722,11.48891,16.2906,21.72192,11.21469,11.56749,9.41277,5.9856,3.73768,11.40294,6.38627,4.1914,9.2969,11.2104,11.2104
2019-09-23,,,,,,2.11812,12.43768,16.10856,30.89683,32.98009,27.13966,19.88574,20.11964,13.63221,6.67871,12.9353,21.72883,19.48517,9.29571,9.6402,6.93252,1.5639,,
2019-09-24,5.4876,5.4876,3.74986,,,,2.97354,11.2998,12.876,16.72577,25.68949,18.52886,16.89183,11.82773,6.9816,6.9816,2.64439,3.32264,4.88336,7.63533,11.86425,12.87028,8.57596,5.4876
2019-09-25,,,,,,3.83648,5.52627,6.83856,23.77087,23.46728,20.8248,30.72783,24.84875,22.95842,15.49719,4.08701,10.1124,10.04936,7.31289,24.92219,18.46547,8.24584,1.4974,
2019-09-26,,,,,,,7.58672,15.08446,11.12156,18.00816,19.38504,15.30571,18.55467,19.30387,7.56645,12.8091,14.23819,21.1437,34.62487,25.7044,4.47416,2.50245,0.9792,3.0888
2019-09-27,,,,,,,,,9.34181,29.15448,28.88552,30.78278,33.70395,30.9427,21.26344,11.05731,7.48186,19.02392,26.47447,16.65062,12.80317,4.58605,,
2019-09-28,,,,,,,,,1.3235,16.34836,2.2515,15.06596,26.90126,22.44433,8.41363,7.13972,3.23691,1.27791,5.9766,5.48232,4.93028,3.42976,,
2019-09-29,,,,,,,,1.2156,6.078,16.92634,15.4966,13.14486,9.46061,8.68152,9.18247,7.91786,13.55332,15.80348,16.02023,13.9116,10.06452,4.617,4.617,2.0007
2019-09-30,0.52335,,,,,1.5153,3.0306,3.0306,5.78894,10.92815,12.21315,21.50009,27.78055,30.48933,21.05445,9.67964,10.42025,8.05529,10.22001,12.105,10.43897,6.2316,4.24929,3.489
2019-10-01,,,,,,,2.20977,9.65826,20.95464,26.97605,26.52621,23.94063,22.55233,15.23324,13.91937,26.04272,31.27668,19.74686,17.80255,8.58236,2.96584,6.0906,4.97399,
2019-10-02,4.0815,,,,,1.35918,3.0204,3.07264,14.41814,32.39162,23.86042,27.92734,27.60867,23.58803,14.00434,18.40408,14.3348,13.46314,30.80326,27.74,19.52594,8.30864,5.442,5.442
2019-10-03,,,,,,1.08368,8.0553,8.61396,11.89108,22.97809,25.98895,23.90698,20.79433,28.40751,19.2031,11.2166,15.81319,16.52924,34.38558,23.1666,13.00043,6.33044,2.2429,
2019-10-04,,,,,,,1.19347,3.1134,3.1134,16.73618,37.95773,47.02714,47.1654,38.96768,43.13028,15.81753,4.51674,10.04832,19.59215,25.11924,13.7056,9.03109,3.48738,
2019-10-05,3.46745,,,,,,,7.0422,6.98129,20.75433,18.63394,23.49527,18.95557,16.99293,10.06189,12.29344,9.91546,4.65568,14.5284,5.1566,0.92487,0.76482,,5.25071
2019-10-06,,,,,,,,,,1.38832,13.20824,12.21059,12.99507,12.86248,18.9477,23.75285,21.02596,20.8708,16.6664,11.2294,6.43564,5.9238,3.9492,
2019-10-07,5.0046,3.58663,,,,1.34595,4.97415,4.78595,17.62222,31.27583,34.96758,44.88614,36.33147,23.92173,24.71953,11.02981,7.2388,5.86713,8.16108,22.62886,11.84416,5.36108,5.0046,5.0046
2019-10-08,,,,,,3.7334,7.54528,11.74475,13.6684,12.12148,17.6236,14.85107,18.27705,6.07192,5.61652,5.87509,4.83423,11.6643,16.29548,11.58809,0.98611,,,
2019-10-09,,,,,,1.41316,3.18285,8.46122,18.88254,33.21503,33.11078,43.20136,39.70111,19.29928,7.27227,8.56257,14.9587,3.15766,13.1192,11.29053,7.97832,5.51286,,
2019-10-10,,,,,,,6.82052,11.0142,5.49212,10.49004,12.47654,26.52672,19.46336,12.38321,11.37394,7.75455,9.16492,6.32835,0.93434,0.4247,3.77696,1.5312,,
2019-10-11,,,,,,,2.00739,7.9011,20.49048,36.32684,47.5399,41.86347,36.75083,28.47887,30.48472,25.42084,15.34511,28.94664,28.99719,18.77314,14.54167,3.33575,,
2019-10-12,,,3.14127,5.7114,5.7114,5.7114,5.7114,5.7114,12.02335,30.10371,36.32624,42.6073,30.0156,20.86948,16.37094,17.98957,27.33489,35.38223,26.24592,26.81393,24.37521,4.52859,,
2019-10-13,,,,,,,5.1576,3.0086,10.44805,11.63859,10.77075,12.68321,22.22318,15.56147,32.57249,34.00844,18.32584,25.86074,33.10191,20.38246,5.7804,5.7804,5.7804,5.68406
2019-10-14,,,,,,0.80528,3.0198,4.83334,14.04642,25.48236,38.03978,34.07729,30.94349,24.48668,32.54052,32.40226,22.05139,11.07815,7.56646,8.4609,,,,
2019-10-15,6.993,2.331,,,,,1.90069,3.0822,6.23118,19.13892,27.72005,35.64336,17.51829,13.76233,9.11702,18.40154,13.90729,3.70986,18.70727,6.993,6.993,6.993,6.993,6.993
2019-10-16,,,,,,1.30962,4.6251,9.57829,22.03336,21.43548,17.30995,20.90742,29.27018,25.13136,13.9685,4.67581,3.2272,13.05581,23.95053,20.13041,8.47424,0.04282,,
2019-10-17,,,,,,,1.59154,5.52822,17.46798,21.87388,25.75233,21.5763,16.16157,12.85024,11.60265,9.20133,7.82403,14.1156,12.29297,11.43052,0.87969,,,
2019-10-18,6.9972,6.9972,6.9972,0.34986,,,,,4.2354,21.82509,31.20569,43.82413,34.67488,13.92805,9.9474,15.33751,22.75685,16.68448,19.82885,19.47063,12.78299,11.31354,11.81544,6.9972
